order_id,first_name,last_name,product_id,category,quantity,amount,payment_method,city,email
2,Rahul,Gupta  ,1056,  Clothing,1,4099.15,Card,Chennai,rahul.gupta2@gmail.com
3,  Neha  ,Rao  ,1089,Electronics  ,4,2687.2,Cash,Mumbai,neha.rao3@gmail.com
4,Arjun  ,Sharma,1026,  Electronics  ,1,4697.73,Net Banking,Delhi,arjun.sharma4@gmail.com
5,Amit  ,  Naidu  ,1081,  Clothing  ,3,591.64,Wallet,Pune,amit.naidu5@gmail.com
6,  Vamsi  ,Das,1077,  Groceries,7,858.0,UPI,Kolkata,vamsi.das6@gmail.com
7,Ravi  ,  Verma,1004,Sports,5,1364.2,Card,Hyderabad,ravi.verma7@gmail.com
8,  Ramesh,Patel,1041,Electronics,3,2204.21,Cash,Bangalore,ramesh.patel8@gmail.com
9,Pooja  ,  Kumar  ,1022,  Clothing  ,2,635.57,Net Banking,Chennai,pooja.kumar9@gmail.com
10,Kavya  ,Rao,1023,  Clothing,4,3181.25,Wallet,Mumbai,kavya.rao10@gmail.com
13,Ramesh  ,  Reddy,1069,  Furniture  ,8,1060.56,UPI,Delhi,ramesh.reddy13@gmail.com
14,Neha  ,  Naidu  ,1001,  Sports  ,6,2577.52,Card,Pune,neha.naidu14@gmail.com
15,  Arjun,Verma  ,1088,Clothing,8,2739.09,Cash,Kolkata,arjun.verma15@gmail.com
16,  Anjali,  Rao,1006,  Books,9,4263.93,Net Banking,Hyderabad,anjali.rao16@gmail.com
18,Arjun  ,  Patel  ,1058,  Groceries,6,5087.33,Wallet,Bangalore,arjun.patel18@gmail.com
19,  Arjun,Rao,1099,Books,6,1303.04,UPI,Chennai,arjun.rao19@gmail.com
20,Vamsi,  Reddy,1096,Sports  ,3,1044.32,Card,Mumbai,vamsi.reddy20@gmail.com
21,  Rahul,  Verma  ,1010,  Clothing  ,3,1714.98,Cash,Delhi,rahul.verma21@gmail.com
22,  Ramesh,Kumar  ,1086,Furniture  ,6,5241.66,Net Banking,Pune,ramesh.kumar22@gmail.com
24,  Pooja  ,Kumar,1084,Clothing  ,9,1602.84,Wallet,Kolkata,pooja.kumar24@gmail.com
25,  Rahul  ,  Das,1062,  Clothing  ,2,3812.4,UPI,Hyderabad,rahul.das25@gmail.com
26,Ravi,Das,1085,Groceries,1,450.74,Credit Card,Chennai,ravi.das26@gmail.com
27,  Divya  ,Verma,1027,  Books  ,6,3126.36,UPI,Delhi,divya.verma27@gmail.com
28,Kiran  ,  Sharma,1011,  Groceries,3,3815.19,UPI,Kolkata,kiran.sharma28@gmail.com
30,  Ravi  ,Das,1029,Groceries,10,3033.36,Net Banking,Pune,ravi.das30@gmail.com
31,  Ravi,  Patel  ,1046,Furniture,6,2854.68,Cash,Hyderabad,ravi.patel31@gmail.com
34,  Priya,  Rao,1046,  Clothing,3,4665.66,Net Banking,Kolkata,priya.rao34@gmail.com
35,  Arjun,  Sharma  ,1064,Furniture,10,2698.38,Credit Card,Bangalore,arjun.sharma35@gmail.com
37,Rahul  ,  Kumar,1086,  Groceries,6,511.39,Debit Card,Hyderabad,rahul.kumar37@gmail.com
39,Divya,  Singh  ,1032,Furniture  ,4,430.22,Debit Card,Hyderabad,divya.singh39@gmail.com
41,  Pooja  ,Sharma,1045,Electronics  ,3,1324.31,Cash,Mumbai,pooja.sharma41@gmail.com
42,  Kavya,  Gupta  ,1085,  Sports  ,3,4809.57,Net Banking,Pune,kavya.gupta42@gmail.com
43,  Suresh  ,  Patel  ,1085,Furniture  ,7,1888.58,Credit Card,Hyderabad,suresh.patel43@gmail.com
44,Anjali,  Rao  ,1073,Furniture  ,9,1341.49,UPI,Hyderabad,anjali.rao44@gmail.com
46,Vamsi  ,Naidu,1078,  Groceries  ,3,3019.96,UPI,Chennai,vamsi.naidu46@gmail.com
47,  Anjali,  Rao  ,1031,  Groceries,2,2961.17,Debit Card,Delhi,anjali.rao47@gmail.com
49,  Arjun  ,Naidu  ,1062,Groceries,3,1915.01,UPI,Bangalore,arjun.naidu49@gmail.com
51,  Kiran  ,  Kumar  ,1038,  Clothing,8,4129.03,UPI,Hyderabad,kiran.kumar51@gmail.com
52,Priya  ,Reddy  ,1025,  Furniture  ,8,3986.11,Credit Card,Pune,priya.reddy52@gmail.com
54,  Kiran,  Gupta  ,1026,  Sports,7,2803.97,UPI,Kolkata,kiran.gupta54@gmail.com
58,  Vamsi  ,  Gupta  ,1026,Groceries  ,3,4638.2,Credit Card,Bangalore,vamsi.gupta58@gmail.com
59,  Ravi,Gupta,1041,Books,4,1238.11,Cash,Kolkata,ravi.gupta59@gmail.com
61,Divya,Verma  ,1019,  Books  ,4,3218.28,Debit Card,Delhi,divya.verma61@gmail.com
63,Vamsi,Sharma,1100,Sports,6,4478.25,Debit Card,Delhi,vamsi.sharma63@gmail.com
65,  Divya  ,  Gupta  ,1032,  Sports,1,3333.31,Debit Card,Kolkata,divya.gupta65@gmail.com
68,Sneha  ,  Patel  ,1030,  Sports  ,4,1078.0,Cash,Hyderabad,sneha.patel68@gmail.com
74,Pooja,  Reddy,1091,  Electronics  ,8,3425.05,Debit Card,Delhi,pooja.reddy74@gmail.com
75,Kiran  ,Verma  ,1021,Books  ,2,3012.27,UPI,Bangalore,kiran.verma75@gmail.com
76,  Anjali  ,  Sharma,1069,  Clothing,3,376.59,Debit Card,Chennai,anjali.sharma76@gmail.com
