order_id,first_name,last_name,product_id,category,quantity,amount,payment_method,city,email
1,Anita,Singh,P070,Grocery,1,3467.94,Debit Card,Kolkata,anita.singh1@example.com
2,Nikhil,Patel,P174,Grocery,5,21040.0,Cash on Delivery,Ahmedabad,nikhil.patel2@example.com
3,Rahul,Singh,P180,Electronics,6,26941.68,Credit Card,Delhi,rahul.singh3@example.com
4,Rohan,Sharma,P109,Home,1,1810.03,Wallet,Mumbai,rohan.sharma4.d2@example.com
5,Divya,Reddy,P067,Apparel,2,140.52,UPI,Mumbai,divya.reddy5.d3@example.com
6,Arjun,Khan,P117,Grocery,1,1721.8,Net Banking,Chennai,arjun.khan6.d3@example.com
7,Priya,Khan,P160,Books,3,8398.32,Wallet,Bengaluru,priya.khan7@example.com
8,Rohan,Sharma,P029,Toys,3,11730.48,Debit Card,Bengaluru,rohan.sharma8@example.com
9,Karan,Singh,P080,Electronics,5,8666.35,Net Banking,Delhi,karan.singh9@example.com
10,Amit,Singh,P070,Grocery,6,20807.64,Credit Card,Hyderabad,amit.singh10@example.com
11,Karan,Khan,P005,Electronics,9,40977.36,Cash on Delivery,Delhi,karan.khan11@example.com
12,Pooja,Verma,P115,Apparel,2,897.32,Net Banking,Kolkata,pooja.verma12@example.com
13,Karan,Iyer,P130,Electronics,8,29102.0,UPI,Bengaluru,karan.iyer13.d3@example.com
14,Nikhil,Rao,P181,Grocery,3,14101.65,Credit Card,Delhi,nikhil.rao14@example.com
15,Rohan,Gupta,P004,Electronics,2,3720.32,Debit Card,Hyderabad,rohan.gupta15@example.com
16,Meera,Das,P022,Books,7,25024.65,Debit Card,Chennai,meera.das16@example.com
17,Anita,Patel,P012,Books,8,37929.28,UPI,Ahmedabad,anita.patel17@example.com
18,Kavya,Rao,P001,Apparel,5,23709.65,Cash on Delivery,Pune,kavya.rao18@example.com
19,Meera,Iyer,P063,Grocery,1,460.77,UPI,Delhi,meera.iyer19@example.com
20,Nikhil,Reddy,P001,Apparel,6,28451.58,Net Banking,Chennai,nikhil.reddy20@example.com
21,Divya,Khan,P129,Home,4,14918.4,Credit Card,Mumbai,divya.khan21@example.com
22,Vikram,Gupta,P068,Home,2,5392.46,Cash on Delivery,Hyderabad,vikram.gupta22@example.com
